1000814,飛航服務總台
102,臺北地院
1000160,後港里
6948,泉州街口
4817,老人自費安養中心
243,明德路267巷
4652,水鋼琴社區
1016,正聖堂
1317,建北站
2472,棲霞山莊
1000680,萬芳社區
825,菁山遊憩區
2319,新安路七
8541,貿商三村
20724,楊聖廟
4810,石潭成功路口
5056,南港抽水站
2528,樟山寺一
926,德行忠誠路口
2081,吳興街派出所
1738,大理服飾
14620,永欣里
9464,半嶺
4986,天母圖書館
173,自強街口(東華)
1501,市民延吉街口
7244,福安宮
1928,延平鄭州路口
57710,文山二分局
1001371,捷運石牌站(西安)
20259,劍潭山登山口
553,關渡碼頭
1000678,新光站(指南)
9494,簡厝
1649,南港公園一
15118,松山商職(松山)
5053,東陽公園
9426,礁坑橋(普宜苑)
1000452,文山運動中心(萬芳)
1108,紫陽
14507,立農國小一
1956,泉州街口
3947,國業里
674,平等國小
4174,第二果菜市場
550,關渡國中(關渡醫院)
7612,臺北大學(臺北校區)
59004,德行芝玉路口
50437,安康路
50675,國關中心
1001124,市民林森路口
50519,土地公廟
156,石牌路
750,全成土雞城
6671,金華國中
2111,信安街
1199,長春一江街口
1001393,思源路口
1116,陽光街
14414,綠園
4808,潭美國小(行善)
50663,聯合醫院陽明院區
4799,吳興國小(松仁)
658,半嶺一
20336,馬槽
1768,東園公園
1799,華中河濱公園
1001484,萬福國小
14417,陽明山國小
4614,萬華分局
1798,莒光派出所
1001438,圳仔頭
9427,礁坑
9425,溪山國小
849,格致大亨路口
1001312,泉源別墅
1001242,奇頭
1001352,明勝里
435,臺寶
200005073,大龍市場
1001123,懷生國宅
670,社子國小二
200005003,捷運東門站4
1001104,陽明大學男(女)
1001212,山上運動場
2025,龍興宮
2195,公企中心
1001349,景勤2號公園
4064,捷運劍南路站(植福)
878,新薈芳
1829,德昌街口
4626,大理服飾
1036,行愛路
9460,妙法寺
6725,公園
907,綠園
1009,天程企業
261,長壽抽水站
14688,政大圖書館
4144,富德
1635,東明里
4855,富德公墓12區
1000269,基隆路口
895,福安國中
1739,大理高中
1849,三元街
56088,小坑口
1000791,鄭厝
1001327,德行西路
1648,南港公園
1001446,三元南海路口
870,新安路二
251,陽明公園服務中心
587,士東路
1001409,政大一
1001342,興旺公園
4893,蘭雅國小
4871,利陽藝術學苑
2561,向陽公園
4841,安泰橋
1000758,財政大樓
18010,圓山
1000349,石牌
1733,人壽一村
1001266,田尾湖
563,下竹林
1001400,政大一
1909,臺北商大(杭州)
389,捷運國父紀念館站(忠孝)
50685,聯合醫院婦幼院區一
557,山仔后
901,碧溪橋
1000904,大佳河濱公園
339,國防醫學中心
1001361,天山里
625,公館地
20293,寶藏巖
1000607,天母里
2406,考試院
4000,玉成國小
450,集應廟
20251,吳興國小(莊敬)
56,中央南路
4009,黃石公廟
1052,馬槽
1001369,中行里
1000807,財政園區
1044,東湖社區
57713,猴山坑
1741,內江街
5051,芬第社區
1000410,大磺嘴
2028,101國際購物中心
1689,香檳新村
4998,災害應變中心
1000222,潭美國小(舊宗)
2429,風動石
935,錫安堂
60143,燒庚寮
2494,萬芳國小
50042,臺北車站(鄭州)
97,天寶聖道宮
50653,忠誠路口
2169,廣安宮
558,山仔后派出所
50655,天母國小
1266,明水路一
401,北藝大圖書館
13116,敦化和平路口
4083,捷運文德站(碧湖公園)
1000615,華興中學
15107,自來水處(辛亥)
55012,公館里
4996,三總內湖站(急診部)
239,明德國中
8532,康寧派出所
50052,萬芳派出所
5050,溫歌華社區
1000622,白雲山莊
1001256,大春山莊
1000115,陽明高中
1740,中正新城
914,士林市場(銘傳會館)
1000211,五分埤
4028,司法新村
644,天母新村
5048,潭美公園
1000252,南港軟體園區南站
9408,中央站
296,泉源國小宿舍
2266,空軍總部
3966,中央北路三段
1488,八德敦化路口
1280,長安松江路口
1569,基隆路口二
8523,內湖高中
15114,永春國小
167,竹子湖
4190,磺仔外
1759,西藏路口
958,雙溪國小
1267,明水路二
1000773,榮星花園
1800,華中河濱公園
1000270,土地公廟
1000723,捷運西湖站
3926,永春里(忠孝)
50430,新明路
1180,大直國小
2458,景明街口
2497,萬芳路口
1000524,忠順街
2360,羅斯福浦城街口
6657,臺北大學(臺北校區)
10207,劍潭國小
1000930,河濱公園大佳段
13112,信義敦化路口
1001142,南京舊宗路口
8624,涼州重慶路口
36111,名門社區
56099,復興派出所
1049,明湖國小(公共電視台)
3912,捷運龍山寺站
1486,雙連市場
896,福林國小
1000666,中影八德大樓
1000205,內湖焚化廠(葫蘆洲公園)
1242,民權建國路口
1806,貴陽街
6729,聯勤技術訓練中心
863,圓山皇宮大廈
8601,時報廣場
2153,捷運永春站(忠孝)
4086,聯合醫院忠孝院區
200005013,捷運唭哩岸站1
1850,三元街口
2423,貓纜指南宮站
1000288,德行東路
2445,捷運景美站
1040,西湖園
390,捷運復興崗站
1624,玉成國小
1244,民權敦化路口
3929,聯合報
4740,七海文化園區
6950,龍口市場
1511,民權公園
1492,三民路
1868,仁愛紹興街口
2299,國北教大實小
1000316,捷運後山埤站(永吉)
1761,桂林昆明街口
15105,東興路
1000683,後車站
1000707,關渡宮
1004,內湖運動公園
1000618,士林官邸(中正)
2492,萬芳派出所
2161,景新里
2404,木柵公園
20268,湖山村
1675,南港花園社區四
1000045,公館
1544,長庚醫院
1255,自強隧道(大直教會)
16016,延平一站(南京)
6989,五常街口
1039,西湖國中
1170,大同大學
1751,老松國小
2253,和平高中
890,葫蘆堵市場
2310,捷運公館站
9416,社區發展協會
2254,和平高中
562,土地公廟
1000548,捷運景美站
4830,富台公園
2131,信義通化街口
3972,一德街口
20377,百齡國小
975,台北企業總部園區
50635,天母廣場
1277,欣欣大眾公司
561,三玉宮
1121,新明路
1179,大直高中
2431,海巡署
